experiment_condi,cell_id,kill_No,duration(hr)
NK_VS_RMA-MULT,1,0,12
NK_VS_RMA-MULT,2,0,12
NK_VS_RMA-MULT,3,0,12
NK_VS_RMA-MULT,4,0,12
NK_VS_RMA-MULT,5,0,12
NK_VS_RMA-MULT,6,0,12
NK_VS_RMA-MULT,7,0,12
NK_VS_RMA-MULT,8,0,12
NK_VS_RMA-MULT,9,0,12
NK_VS_RMA-MULT,10,0,12
NK_VS_RMA-MULT,11,0,12
NK_VS_RMA-MULT,12,0,12
NK_VS_RMA-MULT,13,0,12
NK_VS_RMA-MULT,14,0,12
NK_VS_RMA-MULT,15,0,12
NK_VS_RMA-MULT,16,0,12
NK_VS_RMA-MULT,17,0,12
NK_VS_RMA-MULT,18,0,12
NK_VS_RMA-MULT,19,0,12
NK_VS_RMA-MULT,20,0,12
NK_VS_RMA-MULT,21,0,12
NK_VS_RMA-MULT,22,1,12
NK_VS_RMA-MULT,23,1,12
NK_VS_RMA-MULT,24,1,12
NK_VS_RMA-MULT,25,1,12
NK_VS_RMA-MULT,26,1,12
NK_VS_RMA-MULT,27,1,12
NK_VS_RMA-MULT,28,1,12
NK_VS_RMA-MULT,29,1,12
NK_VS_RMA-MULT,30,1,12
NK_VS_RMA-MULT,31,1,12
NK_VS_RMA-MULT,32,1,12
NK_VS_RMA-MULT,33,1,12
NK_VS_RMA-MULT,34,1,12
NK_VS_RMA-MULT,35,1,12
NK_VS_RMA-MULT,36,1,12
NK_VS_RMA-MULT,37,1,12
NK_VS_RMA-MULT,38,1,12
NK_VS_RMA-MULT,39,1,12
NK_VS_RMA-MULT,40,1,12
NK_VS_RMA-MULT,41,1,12
NK_VS_RMA-MULT,42,1,12
NK_VS_RMA-MULT,43,1,12
NK_VS_RMA-MULT,44,2,12
NK_VS_RMA-MULT,45,2,12
NK_VS_RMA-MULT,46,2,12
NK_VS_RMA-MULT,47,2,12
NK_VS_RMA-MULT,48,2,12
NK_VS_RMA-MULT,49,2,12
NK_VS_RMA-MULT,50,2,12
NK_VS_RMA-MULT,51,2,12
NK_VS_RMA-MULT,52,2,12
NK_VS_RMA-MULT,53,2,12
NK_VS_RMA-MULT,54,2,12
NK_VS_RMA-MULT,55,2,12
NK_VS_RMA-MULT,56,3,12
NK_VS_RMA-MULT,57,3,12
NK_VS_RMA-MULT,58,3,12
NK_VS_RMA-MULT,59,3,12
NK_VS_RMA-MULT,60,4,12
NK_VS_RMA-RAE,1,0,12
NK_VS_RMA-RAE,2,0,12
NK_VS_RMA-RAE,3,0,12
NK_VS_RMA-RAE,4,0,12
NK_VS_RMA-RAE,5,0,12
NK_VS_RMA-RAE,6,0,12
NK_VS_RMA-RAE,7,0,12
NK_VS_RMA-RAE,8,0,12
NK_VS_RMA-RAE,9,0,12
NK_VS_RMA-RAE,10,0,12
NK_VS_RMA-RAE,11,0,12
NK_VS_RMA-RAE,12,0,12
NK_VS_RMA-RAE,13,0,12
NK_VS_RMA-RAE,14,0,12
NK_VS_RMA-RAE,15,0,12
NK_VS_RMA-RAE,16,0,12
NK_VS_RMA-RAE,17,0,12
NK_VS_RMA-RAE,18,0,12
NK_VS_RMA-RAE,19,0,12
NK_VS_RMA-RAE,20,0,12
NK_VS_RMA-RAE,21,0,12
NK_VS_RMA-RAE,22,0,12
NK_VS_RMA-RAE,23,0,12
NK_VS_RMA-RAE,24,0,12
NK_VS_RMA-RAE,25,0,12
NK_VS_RMA-RAE,26,0,12
NK_VS_RMA-RAE,27,0,12
NK_VS_RMA-RAE,28,0,12
NK_VS_RMA-RAE,29,0,12
NK_VS_RMA-RAE,30,0,12
NK_VS_RMA-RAE,31,0,12
NK_VS_RMA-RAE,32,1,12
NK_VS_RMA-RAE,33,1,12
NK_VS_RMA-RAE,34,1,12
NK_VS_RMA-RAE,35,1,12
NK_VS_RMA-RAE,36,1,12
NK_VS_RMA-RAE,37,1,12
NK_VS_RMA-RAE,38,1,12
NK_VS_RMA-RAE,39,1,12
NK_VS_RMA-RAE,40,1,12
NK_VS_RMA-RAE,41,1,12
NK_VS_RMA-RAE,42,1,12
NK_VS_RMA-RAE,43,1,12
NK_VS_RMA-RAE,44,1,12
NK_VS_RMA-RAE,45,1,12
NK_VS_RMA-RAE,46,1,12
NK_VS_RMA-RAE,47,1,12
NK_VS_RMA-RAE,48,1,12
NK_VS_RMA-RAE,49,1,12
NK_VS_RMA-RAE,50,1,12
NK_VS_RMA-RAE,51,1,12
NK_VS_RMA-RAE,52,1,12
NK_VS_RMA-RAE,53,1,12
NK_VS_RMA-RAE,54,1,12
NK_VS_RMA-RAE,55,1,12
NK_VS_RMA-RAE,56,1,12
NK_VS_RMA-RAE,57,1,12
NK_VS_RMA-RAE,58,2,12
NK_VS_RMA-RAE,59,2,12
NK_VS_RMA-RAE,60,2,12
NK_VS_RMA-RAE,61,2,12
NK_VS_RMA-RAE,62,2,12
NK_VS_RMA-RAE,63,2,12
NK_VS_RMA-RAE,64,2,12
NK_VS_RMA-RAE,65,2,12
NK_VS_RMA-RAE,66,2,12
NK_VS_RMA-RAE,67,3,12
NK_VS_RMA-RAE,68,3,12
NK_VS_RMA-RAE,69,3,12
NK_VS_RMA-RAE,70,3,12
